date,CI_mean,CI_p90,n_valid,src,engine,qc_low_coverage
2024-01-01,0.0004322555614635,5.0000002374872565e-05,1024210.0,S3M_OLCI_EFRNT.20240101.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-02,0.0002736462047323,5.0000002374872565e-05,1047655.0,S3M_OLCI_EFRNT.20240102.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-03,0.0003679178771562,5.0000002374872565e-05,865219.0,S3M_OLCI_EFRNT.20240103.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-04,0.0002300502819707,5.0000002374872565e-05,1144789.0,S3M_OLCI_EFRNT.20240104.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-05,0.0002727572573348,5.0000002374872565e-05,1152641.0,S3M_OLCI_EFRNT.20240105.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-06,0.0004124610277358,5.0000002374872565e-05,945300.0,S3M_OLCI_EFRNT.20240106.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-07,0.0003294903144706,5.0000002374872565e-05,782031.0,S3M_OLCI_EFRNT.20240107.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-08,0.0003196438774466,5.0000002374872565e-05,727467.0,S3M_OLCI_EFRNT.20240108.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-01-09,0.0004732410307042,5.000000601285137e-05,639894.0,S3M_OLCI_EFRNT.20240109.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-01-10,0.000398070027586,5.0000002374872565e-05,951795.0,S3M_OLCI_EFRNT.20240110.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-11,0.000298959959764,5.0000002374872565e-05,860747.0,S3M_OLCI_EFRNT.20240111.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-12,0.0004031048447359,5.000000601285137e-05,1093734.0,S3M_OLCI_EFRNT.20240112.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-13,0.0003777286328841,5.0000002374872565e-05,983504.0,S3M_OLCI_EFRNT.20240113.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-14,0.0003610759740695,5.0000002374872565e-05,1021272.0,S3M_OLCI_EFRNT.20240114.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-15,0.0001835423609009,5.0000002374872565e-05,891084.0,S3M_OLCI_EFRNT.20240115.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-16,0.0003634817549027,5.0000002374872565e-05,752068.0,S3M_OLCI_EFRNT.20240116.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-01-17,0.000298962695524,5.0000002374872565e-05,1039955.0,S3M_OLCI_EFRNT.20240117.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-18,0.0003081216709688,5.0000002374872565e-05,737833.0,S3M_OLCI_EFRNT.20240118.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-01-19,0.0002245611540274,5.0000002374872565e-05,853053.0,S3M_OLCI_EFRNT.20240119.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-20,0.0001587836013641,5.0000002374872565e-05,1063485.0,S3M_OLCI_EFRNT.20240120.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-21,0.00028385076439,5.0000002374872565e-05,829524.0,S3M_OLCI_EFRNT.20240121.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-22,0.0003543119819369,5.0000002374872565e-05,562085.0,S3M_OLCI_EFRNT.20240122.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-01-23,0.0002650354581419,5.0000002374872565e-05,666368.0,S3M_OLCI_EFRNT.20240123.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-01-24,0.0003084778727497,5.0000002374872565e-05,780254.0,S3M_OLCI_EFRNT.20240124.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-01-25,0.0003322504635434,5.0000002374872565e-05,796085.0,S3M_OLCI_EFRNT.20240125.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-26,0.0004175478243269,5.0000002374872565e-05,651644.0,S3M_OLCI_EFRNT.20240126.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-01-27,0.0002070337213808,5.0000002374872565e-05,1030580.0,S3M_OLCI_EFRNT.20240127.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-28,0.0002452591725159,5.0000002374872565e-05,955724.0,S3M_OLCI_EFRNT.20240128.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-29,0.0004349427472334,5.0000002374872565e-05,885553.0,S3M_OLCI_EFRNT.20240129.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-30,0.000301372987451,5.0000002374872565e-05,880861.0,S3M_OLCI_EFRNT.20240130.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-01-31,0.0002756591129582,5.0000002374872565e-05,1116209.0,S3M_OLCI_EFRNT.20240131.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-01,0.0002669626555871,5.0000002374872565e-05,1108134.0,S3M_OLCI_EFRNT.20240201.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-02,0.0005018090014345,5.0000002374872565e-05,1059756.0,S3M_OLCI_EFRNT.20240202.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-03,0.0002563447342254,5.0000002374872565e-05,1205989.0,S3M_OLCI_EFRNT.20240203.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-04,0.000394301576307,5.000000601285137e-05,1169037.0,S3M_OLCI_EFRNT.20240204.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-05,0.0003035968984477,5.0000002374872565e-05,920697.0,S3M_OLCI_EFRNT.20240205.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-06,0.0003585694357752,5.0000002374872565e-05,1096976.0,S3M_OLCI_EFRNT.20240206.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-07,0.0002645156637299,5.0000002374872565e-05,1162562.0,S3M_OLCI_EFRNT.20240207.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-08,0.0002301535860169,5.0000002374872565e-05,1277256.0,S3M_OLCI_EFRNT.20240208.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-09,0.0002999991993419,5.0000002374872565e-05,902601.0,S3M_OLCI_EFRNT.20240209.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-10,0.0003379061236046,5.0000002374872565e-05,780644.0,S3M_OLCI_EFRNT.20240210.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,1
2024-02-11,0.0003013985260622,5.0000002374872565e-05,,,,0
2024-02-12,0.0002648909285198,5.0000002374872565e-05,1115210.0,S3M_OLCI_EFRNT.20240212.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
2024-02-13,0.0002865851274691,5.0000002374872565e-05,1019523.0,S3M_OLCI_EFRNT.20240213.L3m.DAY.ILW_CONUS.V5.all.CONUS.300m.nc,netcdf4,0
